Алия 7, Бэмидбар 24:14-25:9
Мафтир, Бэмидбар 25:7-25:9

Пинхас, Бэмидбар 25:10-30:1
Алия 1, Бэмидбар 25:10-26:4
Алия 2, Бэмидбар 26:5-26:51
Алия 3, Бэмидбар 26:52-27:5
Алия 4, Бэмидбар 27:6-27:23
Алия 5, Бэмидбар 28:1-28:15
Алия 6, Бэмидбар 28:16-29:11
Алия 7, Бэмидбар 29:12-30:1
Мафтир, Бэмидбар 29:35-30:1

Матот, Бэмидбар 30:2-32:42
Алия 1, Бэмидбар 30:2-30:17
Алия 2, Бэмидбар 31:1-31:12
Алия 3, Бэмидбар 31:13-31:24
Алия 4, Бэмидбар 31:25-31:41
Алия 5, Бэмидбар 31:42-31:54
Алия 6, Бэмидбар 32:1-32:19
Алия 7, Бэмидбар 32:20-32:42
Мафтир, Бэмидбар 32:39-32:42

Масъэй, Бэмидбар 33:1-36:13
Алия 1, Бэмидбар 33:1-33:10
Алия 2, Бэмидбар 33:11-33:49
Алия 3, Бэмидбар 33:50-34:15
Алия 4, Бэмидбар 34:16-34:29
Алия 5, Бэмидбар 35:1-35:8
Алия 6, Бэмидбар 35:9-35:34
Алия 7, Бэмидбар 36:1-36:13
Мафтир, Бэмидбар 36:11-36:13

Дварим, Дварим 1:1-3:22
Алия 1, Дварим 1:1-1:10
Алия 2, Дварим 1:11-1:21
Алия 3, Дварим 1:22-1:38
Алия 4, Дварим 1:39-2:1
Алия 5, Дварим 2:2-2:30
Алия 6, Дварим 2:31-3:14
Алия 7, Дварим 3:15-3:22
Мафтир, Дварим 3:20-3:22

Ваэтханан, Дварим 3:23-7:11
Алия 1, Дварим 3:23-4:4
Алия 2, Дварим 4:5-4:40
Алия 3, Дварим 4:41-4:49
Алия 4, Дварим 5:1-5:18
Алия 5, Дварим 5:19-6:3
Алия 6, Дварим 6:4-6:25
Алия 7, Дварим 7:1-7:11
Мафтир, Дварим 7:9-7:11

Эйкев, Дварим 7:12-11:25
Алия 1, Дварим 7:12-8:10
