Aliyah 5, Vayikra 17:8-18:5
Aliyah 6, Vayikra 18:6-18:21
Aliyah 7, Vayikra 18:22-18:30
Maftir, Vayikra 18:28-18:30

Kedoshim, Vayikra 19:1-20:27
Aliyah 1, Vayikra 19:1-19:14
Aliyah 2, Vayikra 19:15-19:22
Aliyah 3, Vayikra 19:23-19:32
Aliyah 4, Vayikra 19:33-19:37
Aliyah 5, Vayikra 20:1-20:7
Aliyah 6, Vayikra 20:8-20:22
Aliyah 7, Vayikra 20:23-20:27
Maftir, Vayikra 20:25-20:27

Emor, Vayikra 21:1-24:23
Aliyah 1, Vayikra 21:1-21:15
Aliyah 2, Vayikra 21:16-22:16
Aliyah 3, Vayikra 22:17-22:33
Aliyah 4, Vayikra 23:1-23:22
Aliyah 5, Vayikra 23:23-23:32
Aliyah 6, Vayikra 23:33-23:44
Aliyah 7, Vayikra 24:1-24:23
Maftir, Vayikra 24:21-24:23

Behar, Vayikra 25:1-26:2
Aliyah 1, Vayikra 25:1-25:13
Aliyah 2, Vayikra 25:14-25:18
Aliyah 3, Vayikra 25:19-25:24
Aliyah 4, Vayikra 25:25-25:28
Aliyah 5, Vayikra 25:29-25:38
Aliyah 6, Vayikra 25:39-25:46
Aliyah 7, Vayikra 25:47-26:2
Maftir, Vayikra 25:55-26:2

Bechukotai, Vayikra 26:3-27:34
Aliyah 1, Vayikra 26:3-26:5
Aliyah 2, Vayikra 26:6-26:9
Aliyah 3, Vayikra 26:10-26:46
Aliyah 4, Vayikra 27:1-27:15
Aliyah 5, Vayikra 27:16-27:21
Aliyah 6, Vayikra 27:22-27:28
Aliyah 7, Vayikra 27:29-27:34
Maftir, Vayikra 27:32-27:34

Bamidbar, Bamidbar 1:1-4:20
Aliyah 1, Bamidbar 1:1-1:19
Aliyah 2, Bamidbar 1:20-1:54
Aliyah 3, Bamidbar 2:1-2:34
Aliyah 4, Bamidbar 3:1-3:13
Aliyah 5, Bamidbar 3:14-3:39
Aliyah 6, Bamidbar 3:40-3:51
Aliyah 7, Bamidbar 4:1-4:20
Maftir, Bamidbar 4:17-4:20

Nasso, Bamidbar 4:21-7:89
Aliyah 1, Bamidbar 4:21-4:37
Aliyah 2, Bamidbar 4:38-4:49
Aliyah 3, Bamidbar 5:1-5:10
Aliyah 4, Bamidbar 5:11-6:27
Aliyah 5, Bamidbar 7:1-7:41
Aliyah 6, Bamidbar 7:42-7:71
Aliyah 7, Bamidbar 7:72-7:89
Maftir, Bamidbar 7:87-7:89

Beha’alotcha, Bamidbar 8:1-12:16
Aliyah 1, Bamidbar 8:1-8:14
Aliyah 2, Bamidbar 8:15-8:26
Aliyah 3, Bamidbar 9:1-9:14
Aliyah 4, Bamidbar 9:15-10:10
Aliyah 5, Bamidbar 10:11-10:34
Aliyah 6, Bamidbar 10:35-11:29
Aliyah 7, Bamidbar 11:30-12:16
Maftir, Bamidbar 12:14-12:16

Sh’lach, Bamidbar 13:1-15:41
Aliyah 1, Bamidbar 13:1-13:20
Aliyah 2, Bamidbar 13:21-14:7
Aliyah 3, Bamidbar 14:8-14:25
Aliyah 4, Bamidbar 14:26-15:7
Aliyah 5, Bamidbar 15:8-15:16
Aliyah 6, Bamidbar 15:17-15:26
Aliyah 7, Bamidbar 15:27-15:41
Maftir, Bamidbar 15:37-15:41

Korach, Bamidbar 16:1-18:32
Aliyah 1, Bamidbar 16:1-16:13
Aliyah 2, Bamidbar 16:14-16:19
Aliyah 3, Bamidbar 16:20-17:8
Aliyah 4, Bamidbar 17:9-17:15
Aliyah 5, Bamidbar 17:16-17:24
Aliyah 6, Bamidbar 17:25-18:20
Aliyah 7, Bamidbar 18:21-18:32
Maftir, Bamidbar 18:30-18:32

Chukat, Bamidbar 19:1-22:1
Aliyah 1, Bamidbar 19:1-19:17
Aliyah 2, Bamidbar 19:18-20:6
Aliyah 3, Bamidbar 20:7-20:13
Aliyah 4, Bamidbar 20:14-20:21
Aliyah 5, Bamidbar 20:22-21:9
Aliyah 6, Bamidbar 21:10-21:20
Aliyah 7, Bamidbar 21:21-22:1
Maftir, Bamidbar 21:34-22:1

Balak, Bamidbar 22:2-25:9
Aliyah 1, Bamidbar 22:2-22:12
Aliyah 2, Bamidbar 22:13-22:20
Aliyah 3, Bamidbar 22:21-22:38
Aliyah 4, Bamidbar 22:39-23:12
Aliyah 5, Bamidbar 23:13-23:26
Aliyah 6, Bamidbar 23:27-24:13
Aliyah 7, Bamidbar 24:14-25:9
Maftir, Bamidbar 25:7-25:9

Pinchas, Bamidbar 25:10-30:1
Aliyah 1, Bamidbar 25:10-26:4
Aliyah 2, Bamidbar 26:5-26:51
Aliyah 3, Bamidbar 26:52-27:5
Aliyah 4, Bamidbar 27:6-27:23
Aliyah 5, Bamidbar 28:1-28:15
Aliyah 6, Bamidbar 28:16-29:11
Aliyah 7, Bamidbar 29:12-30:1
Maftir, Bamidbar 29:35-30:1

Matot, Bamidbar 30:2-32:42
Aliyah 1, Bamidbar 30:2-30:17
Aliyah 2, Bamidbar 31:1-31:12
Aliyah 3, Bamidbar 31:13-31:24
Aliyah 4, Bamidbar 31:25-31:41
Aliyah 5, Bamidbar 31:42-31:54
Aliyah 6, Bamidbar 32:1-32:19
Aliyah 7, Bamidbar 32:20-32:42
Maftir, Bamidbar 32:39-32:42

Masei, Bamidbar 33:1-36:13
Aliyah 1, Bamidbar 33:1-33:10
Aliyah 2, Bamidbar 33:11-33:49
Aliyah 3, Bamidbar 33:50-34:15
Aliyah 4, Bamidbar 34:16-34:29
Aliyah 5, Bamidbar 35:1-35:8
Aliyah 6, Bamidbar 35:9-35:34
Aliyah 7, Bamidbar 36:1-36:13
Maftir, Bamidbar 36:11-36:13

Devarim, Devarim 1:1-3:22
Aliyah 1, Devarim 1:1-1:10
Aliyah 2, Devarim 1:11-1:21
